AÑO,MES,CONCESION,ENTIDAD PRESTADORA,TIPO DE VEHICULO,UNIDAD DE MEDIDA,TOTAL,,,,,,
2019,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"656,190",,,,,,
2019,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"328,095",,,,,,
2019,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,"1,604,931",,,,,,
2019,1,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,"405,368",,,,,,
2019,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"587,494",,,,,,
2019,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"293,747",,,,,,
2019,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE EJES COBRABLES,"1,455,061",,,,,,
2019,2,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,PESADOS,NÚMERO DE VEHÍCULOS,"366,126",,,,,,
2019,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE EJES COBRABLES,"545,608",,,,,,
2019,3,RED VIAL N° 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,NÚMERO DE VEHÍCULOS,"272,804",,,,,,
